"REV_OUTCOME","p_value","r_value","excluded_study","num_of_studies"
"CD010696_4",0.34313968355789,0.512391888103344,"STD-Duphar-H10803592F---1997",6
"CD010696_5",0.0749834881692701,0.679582057663112,"STD-Duphar-77054-1983",4
"CD010696_6",0.900669776335327,0.95115035683774,"STD-Duphar-77054-1983",7
"CD010697_8",0.70849525817282,0.724937237622066,"STD-Hambidge-1979",5
"CD010698_1",0.181621370757661,0.426445527976456,"STD-Deitch-2010",3
"CD010698_4",0.00109142416623004,0.335440347061771,"STD-Campbell-2016",3
"CD010698_5",0.181621370757661,0.426445527976456,"STD-Deitch-2010",3
"CD010698_7",0.00109142416623004,0.335440347061771,"STD-Campbell-2016",3
"CD010699_1",0.895727901174823,0.937315997362289,"STD-Vincenti-2005",14
"CD010699_2",0.773199940290778,0.940723988909951,"STD-BENEFIT-Study-2008",7
"CD010699_3",0.755374710935374,0.924460229053034,"STD-BENEFIT_x002d_EXT-2009",23
"CD010699_5",0.229251834160997,0.447422632492961,"STD-BENEFIT_x002d_EXT-2009",13
"CD010699_6",0.337623864141539,0.752735392676834,"STD-BENEFIT_x002d_EXT-2009",22
"CD010699_7",0.00155791277616283,0.127140006382738,"STD-BENEFIT-Study-2008",15
"CD010709_1",1.44373346938086e-05,0.000111318380575278,"STD-Tessitore-2004a",33
"CD010709_2",0.00938571393555869,0.0189291981092243,"STD-Tessitore-2004a",18
"CD010709_3",0.000983914881908199,0.0189291981092243,"STD-Tessitore-2004a",18
"CD010709_4",0.00938571393555869,0.0189291981092243,"STD-Tessitore-2004a",18
"CD010709_5",0.00139875597426652,0.00518504328229671,"STD-Tessitore-2004a",7
"CD010709_11",0.358793989286546,0.637436345157132,"STD-Mayer-1993",13
"CD010709_12",0.0362327178734332,0.123315439098468,"STD-Malik-2005",29
"CD010709_13",0.0845072558385473,0.11052101141006,"STD-Malik-2005",11
"CD010709_14",0.121968502887297,0.472544388995218,"STD-Robbin-2006",5
"CD010709_15",0.0818840817088106,0.0818840817088106,"STD-Tessitore-2014",4
"CD010709_33",0.108747577864082,0.454120737988406,"STD-Malik-2005",7
"CD010720_1",1.95196085629284e-06,2.32617341329062e-05,"STD-Diggle-2000a",6
"CD010726_1",0.56370773561028,0.878444177827924,"STD-Dodds-1993",4
"CD010726_3",0.0593507093396312,0.72770729217748,"STD-Fang-2006",3
